OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,DepDel15,WindSpeed,SeaLevelPressure,HourlyPrecip
SNA,5,4,13,6,UA,IAH,0,17,29,0
ORD,5,21,17,2,AA,TPA,1,18,29,0
IAD,5,28,22,2,YV,CLT,0,3,30,0
IND,5,21,7,2,WN,LAS,0,15,29,0
IAH,5,14,6,2,AA,MIA,0,0,30,0
ATL,5,5,22,7,DL,CVG,0,6,29,0
RSW,5,28,7,2,UA,EWR,0,8,29,0
EWR,5,11,16,6,UA,PBI,1,6,29,0
ORF,5,21,18,2,WN,MDW,1,9,29,0
IAH,5,10,10,5,AA,JFK,1,5,29,0
PVD,5,8,18,3,US,CLT,0,11,30,0
BWI,5,19,7,7,AA,DFW,0,9,30,0
ATL,5,10,12,5,WN,BWI,1,11,30,0
OAK,5,29,14,3,WN,SNA,0,18,29,0
CLE,5,1,7,3,WN,BNA,0,11,30,0
ATL,5,29,11,3,DL,LGA,0,7,30,0
PHX,5,27,7,1,US,SFO,0,6,29,0
BOS,5,23,9,4,B6,MCO,0,6,29,0
ATL,5,2,6,4,MQ,LGA,0,18,30,0
IAD,5,1,8,3,AA,LAX,0,7,30,0
ATL,5,24,22,5,DL,FLL,0,7,30,0
PHX,5,7,8,2,US,PHL,0,5,29,0
DTW,5,18,13,6,DL,MSP,0,8,30,0
SAN,5,30,10,4,AS,SEA,0,9,29,0
LGA,5,2,12,4,US,BOS,0,5,30,0
BWI,5,30,10,4,WN,BDL,0,5,30,0
OGG,5,24,12,5,AS,SEA,0,24,30,0
CLT,5,21,15,2,DL,ATL,1,16,29,0
PIT,5,18,9,6,DL,MSP,0,0,30,0
CLT,5,14,6,2,US,LGA,0,3,30,0
CLT,5,22,9,3,US,FLL,0,7,30,0
SNA,5,24,6,5,DL,MSP,0,7,29,0
LAX,5,10,6,5,WN,SMF,0,6,30,0
PIT,5,30,17,4,WN,LAS,0,6,30,0
LGA,5,22,8,3,UA,DEN,0,6,29,0
RIC,5,22,13,3,B6,BOS,0,15,29,0
IAD,5,18,17,6,YV,CLT,0,0,30,0
LAS,5,4,10,6,AS,SEA,0,0,29,0
MSP,5,22,21,3,DL,SEA,0,9,29,0
ORD,5,3,10,5,MQ,DEN,1,10,30,0
LGA,5,18,12,6,MQ,CMH,0,9,30,0
PDX,5,28,8,2,AA,DFW,0,8,29,0
LAX,5,27,10,1,DL,MSP,0,9,29,0
LGA,5,1,19,3,MQ,RDU,0,9,30,0
BNA,5,22,11,3,EV,EWR,1,15,29,0
ATL,5,22,9,3,DL,PVD,0,0,29,0
LGA,5,19,10,7,UA,IAH,0,10,29,0
ATL,5,5,7,7,DL,RIC,0,8,29,0
OAK,5,9,13,4,WN,LAS,0,17,30,0
PHL,5,9,11,4,AA,DFW,0,7,29,0
SJC,5,19,9,7,WN,SAN,0,10,30,0
BUR,5,16,7,4,WN,LAS,0,5,29,0
MIA,5,2,15,4,DL,ATL,1,11,29,0
MSP,5,8,17,3,9E,AUS,0,10,29,0
SMF,5,18,12,6,US,PHX,0,7,30,0
ABQ,5,11,12,6,WN,MCI,1,11,30,0
IAH,5,6,9,1,EV,DFW,0,3,30,0
SAN,5,27,18,1,WN,MDW,0,8,29,0
SNA,5,7,7,2,OO,SLC,0,7,30,0
PHX,5,22,7,3,US,SMF,0,10,29,0
SDF,5,23,18,4,WN,BWI,1,14,29,0
IAD,5,26,8,7,UA,SAN,0,9,30,0
BDL,5,12,12,7,DL,ATL,0,8,29,0
LAS,5,3,12,5,FL,ATL,0,7,29,0
TPA,5,11,8,6,FL,BWI,0,7,30,0
ATL,5,5,8,7,FL,FLL,0,9,29,0
SAN,5,25,22,6,US,CLT,0,0,29,0
MSP,5,18,7,6,DL,DCA,0,5,29,0
SNA,5,30,15,4,AS,SEA,0,15,29,0
IAH,5,13,19,1,UA,SEA,0,10,30,0
ATL,5,4,12,6,DL,EWR,0,18,29,0
BDL,5,19,14,7,MQ,ORD,0,7,30,0
BNA,5,4,8,6,MQ,ORD,0,5,29,0
MSY,5,3,6,5,AA,MIA,0,6,29,0
BNA,5,21,8,2,US,CLT,0,6,29,0
DCA,5,13,19,1,UA,ORD,0,10,30,0
SMF,5,6,14,1,WN,SNA,0,11,29,0
JAX,5,25,9,6,US,CLT,0,15,30,0
OKC,5,29,17,3,WN,HOU,1,18,29,0
SFO,5,25,23,6,B6,FLL,0,26,30,0
TPA,5,28,8,2,DL,CVG,0,8,30,0
MIA,5,30,17,4,AA,IAH,1,22,30,0
DCA,5,28,18,2,US,FLL,0,14,30,0
PHL,5,5,9,7,US,DFW,1,7,30,0
MSY,5,10,6,5,UA,IAH,0,20,30,0
RDU,5,29,6,3,9E,MSP,0,5,30,0
SEA,5,16,14,4,OO,PDX,0,8,29,0
LAS,5,26,11,7,AS,SEA,0,21,29,0
MKE,5,22,12,3,EV,CLE,1,7,29,0
TPA,5,15,7,3,FL,BWI,0,0,30,0
MSY,5,17,6,5,DL,ATL,0,9,29,0
CLT,5,27,13,1,US,ATL,0,8,30,0
LAS,5,22,21,3,WN,OAK,1,26,29,0
DTW,5,6,15,1,AA,DFW,0,8,30,0
BUR,5,23,18,4,WN,OAK,0,8,29,0
EWR,5,7,7,2,UA,FLL,0,5,30,0
IAD,5,19,17,7,EV,ATL,1,3,30,0
BWI,5,11,10,6,WN,DEN,0,7,29,0
BOS,5,25,7,6,UA,SFO,0,13,29,0
HOU,5,18,14,6,EV,DFW,0,15,29,0
CLT,5,1,11,3,US,IAH,0,10,30,0
BNA,5,23,9,4,WN,MDW,0,5,29,0
LAS,5,10,10,5,WN,SAN,0,7,30,0
RSW,5,25,10,6,DL,ATL,0,14,30,0
STL,5,15,20,3,WN,BOS,0,9,29,0
ORD,5,9,20,4,AA,BOS,1,9,29,0
RDU,5,6,18,1,WN,DEN,1,3,29,0
JFK,5,3,8,5,DL,FLL,0,14,30,0
MSY,5,10,16,5,B6,BOS,1,6,30,0
EWR,5,28,16,2,US,PHX,0,6,30,0
SMF,5,24,19,5,OO,LAX,0,14,29,0
CLT,5,8,20,3,US,JAX,0,3,29,0
SMF,5,29,6,3,WN,SAN,0,11,29,0
ORD,5,15,21,3,UA,SMF,0,3,29,0
TUS,5,24,17,5,OO,PHX,0,16,29,0
ATL,5,3,22,5,DL,DTW,1,17,29,0
SMF,5,1,14,3,OO,SFO,0,20,29,0
BOS,5,16,6,4,B6,RDU,0,10,29,0
TPA,5,18,6,6,FL,ATL,0,3,30,0
PHX,5,24,20,5,WN,SMF,0,14,29,0
ORD,5,28,9,2,MQ,DTW,0,10,29,0
DTW,5,20,12,1,DL,LGA,0,10,29,0
BOS,5,17,11,5,DL,ATL,0,13,30,0
PHL,5,17,20,5,US,ORD,0,5,30,0
ORD,5,28,11,2,MQ,CMH,0,8,29,0
ORD,5,30,14,4,UA,TPA,0,20,29,0
BOS,5,8,9,3,US,CLT,0,7,30,0
ATL,5,15,15,3,FL,MCO,0,8,30,0
OAK,5,11,18,6,WN,BUR,0,13,30,0
MDW,5,29,7,3,WN,LAS,0,13,29,0
BOS,5,23,6,4,B6,DCA,0,3,29,0
ATL,5,24,8,5,FL,DCA,0,15,30,0
EWR,5,7,20,2,UA,BOS,0,6,30,0
TPA,5,16,14,4,DL,DTW,0,9,30,0
SNA,5,6,12,1,WN,SMF,0,11,29,0
SAN,5,1,15,3,WN,SMF,0,8,29,0
OMA,5,9,14,4,WN,MDW,1,7,29,0
LGA,5,17,12,5,UA,ORD,0,13,30,0
HOU,5,18,17,6,FL,ATL,0,11,29,0
LAX,5,26,21,7,AS,PDX,0,6,30,0
MCO,5,12,9,7,B6,SJU,0,10,29,0
LAX,5,2,18,4,OO,LAS,1,10,30,0
MSP,5,9,21,4,DL,DEN,0,17,30,0
LAS,5,6,6,1,WN,SJC,0,16,29,0
MIA,5,22,9,3,AA,SJU,0,10,29,0
OKC,5,4,13,6,WN,MCI,0,25,29,0
IAH,5,9,11,4,AA,DFW,0,16,29,0
RDU,5,11,10,6,AA,ORD,0,18,29,0
SNA,5,8,10,3,US,PHX,0,6,30,0
TUS,5,16,11,4,AA,DFW,1,17,29,0
DCA,5,15,21,3,MQ,BNA,0,0,29,0
DTW,5,6,12,1,DL,ORD,0,8,30,0
MDW,5,24,12,5,WN,STL,1,9,30,0
MSY,5,2,17,4,DL,ATL,0,14,29,0
LAX,5,16,12,4,VX,SJC,0,9,29,0
SNA,5,19,12,7,AS,SEA,0,10,29,0
MIA,5,23,9,4,AA,PHL,0,8,30,0
SEA,5,27,8,1,AS,ORD,1,5,29,0
SLC,5,8,6,3,WN,LAS,0,6,29,0
LGA,5,28,16,2,AA,ORD,0,10,30,0
PHX,5,12,7,7,WN,BNA,0,6,30,0
TPA,5,17,5,5,US,CLT,0,3,30,0
LAX,5,26,15,7,OO,PHX,0,11,30,0
PHL,5,8,7,3,US,SEA,0,5,29,0
PHX,5,19,18,7,WN,ONT,0,17,29,0
JFK,5,8,6,3,EV,IAD,0,8,29,0
CMH,5,5,13,7,FL,MCO,0,8,29,0
SNA,5,15,6,3,UA,IAH,0,6,30,0
ORD,5,6,15,1,9E,JFK,0,10,29,0
JFK,5,29,6,3,US,PHX,0,0,30,0
IAH,5,25,11,6,UA,SAN,0,14,30,0
EWR,5,22,9,3,EV,DCA,0,5,29,0
MCO,5,16,6,4,US,CLT,0,5,30,0
LAX,5,30,15,4,WN,PHX,0,8,29,0
SJU,5,10,17,5,AA,JFK,0,10,29,0
PVD,5,7,19,2,EV,IAD,0,7,30,0
BWI,5,19,19,7,WN,TPA,0,9,29,0
MCO,5,15,14,3,WN,HOU,0,10,30,0
CMH,5,4,7,6,WN,LAS,0,11,30,0
LAX,5,16,11,4,DL,LAS,0,9,29,0
SMF,5,31,7,5,WN,SAN,0,9,29,0
SAN,5,31,8,5,WN,OAK,0,5,29,0
AUS,5,24,13,5,DL,ATL,0,10,29,0
DCA,5,28,15,2,US,BOS,0,8,30,0
SAN,5,5,17,7,WN,MCI,1,6,29,0
ORD,5,2,10,4,UA,DCA,0,10,30,0
IAD,5,5,8,7,YV,AUS,0,8,30,0
ATL,5,8,14,3,DL,JAX,0,9,30,0
MCO,5,29,7,3,US,DCA,0,7,30,0
ATL,5,26,8,7,FL,DTW,0,3,30,0
ATL,5,24,14,5,DL,LGA,0,18,30,0
JFK,5,11,20,6,B6,MCO,1,9,29,0
MCO,5,18,12,6,B6,PVD,1,0,30,0
IAH,5,18,10,6,UA,BOS,0,15,29,0
LAX,5,25,14,6,AA,IAD,0,13,30,0
ORD,5,10,6,5,MQ,PHL,1,14,29,0
MCO,5,30,13,4,DL,LGA,0,22,30,0
